arch,act,dropout,lr,val_acc,val_loss
[32],relu,0.0,0.001,0.6076233183856502,1.0401275756647768
[32],relu,0.0,0.01,0.5807174887892377,1.0551748692722065
[32],relu,0.2,0.001,0.600896860986547,1.0387404959298034
[32],relu,0.2,0.01,0.6053811659192825,1.0478506379597925
[32],tanh,0.0,0.001,0.5964125560538116,1.0285884778061256
[32],tanh,0.0,0.01,0.5986547085201793,1.0061474613544652
[32],tanh,0.2,0.001,0.5986547085201793,1.0122248092039818
[32],tanh,0.2,0.01,0.6076233183856502,1.0190044256603772
[32],leaky,0.0,0.001,0.594170403587444,1.0186831146612296
[32],leaky,0.0,0.01,0.5986547085201793,1.0219542052713746
[32],leaky,0.2,0.001,0.5986547085201793,1.011631278446437
[32],leaky,0.2,0.01,0.5874439461883408,1.0563639041554234
[64],relu,0.0,0.001,0.5874439461883408,1.0124667522084019
[64],relu,0.0,0.01,0.5739910313901345,1.1015720196368983
[64],relu,0.2,0.001,0.6031390134529148,1.0132838292506778
[64],relu,0.2,0.01,0.5739910313901345,1.078785422671536
[64],tanh,0.0,0.001,0.5986547085201793,1.0311039595325966
[64],tanh,0.0,0.01,0.5874439461883408,1.0440816628024183
[64],tanh,0.2,0.001,0.6053811659192825,1.032651299585676
[64],tanh,0.2,0.01,0.6031390134529148,1.01395976864169
[64],leaky,0.0,0.001,0.594170403587444,1.020138189664336
[64],leaky,0.0,0.01,0.5672645739910314,1.0621782308736725
[64],leaky,0.2,0.001,0.5986547085201793,1.0204054288265416
[64],leaky,0.2,0.01,0.5986547085201793,1.051551195270812
"[64, 32]",relu,0.0,0.001,0.5986547085201793,1.0054986065278673
"[64, 32]",relu,0.0,0.01,0.5874439461883408,1.3475737908495915
"[64, 32]",relu,0.2,0.001,0.57847533632287,1.0136128118754502
"[64, 32]",relu,0.2,0.01,0.5829596412556054,1.0447754747664448
"[64, 32]",tanh,0.0,0.001,0.5874439461883408,1.0160185467501928
"[64, 32]",tanh,0.0,0.01,0.57847533632287,1.2937085339841288
"[64, 32]",tanh,0.2,0.001,0.600896860986547,1.0153814091810731
"[64, 32]",tanh,0.2,0.01,0.5852017937219731,1.0272860794323977
"[64, 32]",leaky,0.0,0.001,0.600896860986547,1.0242762613724166
"[64, 32]",leaky,0.0,0.01,0.5739910313901345,1.2603788194100418
"[64, 32]",leaky,0.2,0.001,0.5852017937219731,1.013050093779115
"[64, 32]",leaky,0.2,0.01,0.5964125560538116,1.0847261697722124
"[128, 64, 32]",relu,0.0,0.001,0.5896860986547086,1.040352688776538
"[128, 64, 32]",relu,0.0,0.01,0.5358744394618834,1.6302482434986953
"[128, 64, 32]",relu,0.2,0.001,0.57847533632287,1.0225766523001973
"[128, 64, 32]",relu,0.2,0.01,0.5964125560538116,1.1451432451004404
"[128, 64, 32]",tanh,0.0,0.001,0.5829596412556054,1.0227865878776585
"[128, 64, 32]",tanh,0.0,0.01,0.5627802690582959,1.1443398650986196
"[128, 64, 32]",tanh,0.2,0.001,0.5807174887892377,1.011204995114707
"[128, 64, 32]",tanh,0.2,0.01,0.5739910313901345,1.0706837300227896
"[128, 64, 32]",leaky,0.0,0.001,0.6210762331838565,1.0563261410046052
"[128, 64, 32]",leaky,0.0,0.01,0.57847533632287,1.312340306059662
"[128, 64, 32]",leaky,0.2,0.001,0.5762331838565022,1.0187860914409963
"[128, 64, 32]",leaky,0.2,0.01,0.5605381165919282,1.080755939130826
